timestamp;simulationTime;totalCustomers;averageWaiting
2025-12-02 14:56;200.523;33;5.568
2025-12-02 14:56;200.975;31;9.815
2025-12-02 15:12;200.523;33;5.568
2025-12-02 15:19;2000.420;376;23.938
2025-12-02 15:25;2000.420;376;23.938
2025-12-02 16:58;2000.420;376;23.938
2025-12-09 11:15;200.523;33;5.568
2025-12-09 14:00;200.523;33;5.568
